# alias<TAB>concepto canónico del grafo
motocicleta	moto
motocicletas	moto
motorbike	moto
biker	moto
motero	moto
moteros	moto
carro	auto
coche	auto
vehiculo	auto
vehículo	auto
carros	auto
coches	auto
correr	velocidad
rapido	velocidad
rápido	velocidad
rapidez	velocidad
acelerar	velocidad
acelera	velocidad
carrera	velocidad
veloz	velocidad
reloj	lujo
joya	lujo
joyas	lujo
cadena	lujo
premium	lujo
rico	lujo
rapero	rap
raperos	rap
rapear	rap
barra	rap
barras	rap
rima	rap
rimas	rap
beat	rap
beats	rap
freestyle	cypher
batalla	cypher
fantasma	horror
terror	horror
miedo	horror
pesadilla	horror
asesino	horror
pelicula	cine
película	cine
film	cine
filme	cine
camara	camara
cámara	camara
director	cine
saiyan	Goku
sayayin	Goku
dbz	Dragon Ball
dragón ball	Dragon Ball
juego	videojuegos
juegos	videojuegos
gamer	videojuegos
consola	videojuegos
consolas	videojuegos
basquet	basket
básquet	basket
baloncesto	basket
basketball	basket
nba	NBA
soccer	futbol
fútbol	futbol
balompie	futbol
balompié	futbol
pelota	futbol
boxeador	boxeo
boxeadores	boxeo
pelea	boxeo
ring	boxeo
knockout	boxeo
nocaut	boxeo
dioses	mitologia
griego	mitologia
griegos	mitologia
olimpo	Olimpo
vikingo	nordico
vikingos	nordico
nórdico	nordico
nordicos	nordico
martillo	Mjolnir
universo	espacio
planeta	espacio
planetas	espacio
astronautas	astronauta
cohete	espacio
celular	tecnologia
móvil	tecnologia
movil	tecnologia
computadora	tecnologia
ordenador	tecnologia
ia	inteligencia artificial
inteligencia	inteligencia artificial
algoritmos	algoritmo
redes	internet
web	internet
online	internet
red social	internet
red social	internet
plata	dinero
cash	dinero
billete	dinero
billetes	dinero
pasta	dinero
crypto	cripto
criptomoneda	cripto
ropa	moda
diseñador	moda
sneakers	sneaker
tenis	sneaker
pintura	arte
pintor	arte
pintores	arte
museos	museo
graffiti	graffiti
libro	literatura
libros	literatura
escritor	literatura
escritores	literatura
poeta	literatura
imperio	historia
guerra	historia
emperador	historia
rey	historia
reina	historia
batallas	batalla
turismo	viaje
viajar	viaje
viajero	viaje
viajeros	viaje
avion	viaje
avión	viaje
vacaciones	viaje
restaurante	comida
chef	comida
cocinar	comida
cocina	comida
hambre	comida
animal	naturaleza
animales	naturaleza
selva	naturaleza
bestia	depredador
bestias	depredador
barrio	calle
avenida	calle
ciudad	calle
asfalto	calle
bloque	calle
hood	calle
